min_score,pullback_pct,timeout_bars,tp_pct,sl_pct,trailing_act,trailing_dist,total_signals,filled_trades,fill_rate_pct,win_rate_pct,net_pnl_pct,profit_factor,expectancy_pct,max_dd_pct,oos_win_rate_pct,oos_net_pnl_pct,score_metric
75.0,1.0,4,0.7,3.5,1.5,0.5,44989,537,1.1,92.6,291.65,3.97,0.539,6.98,92.1,111.10,114.78
65.0,1.0,4,0.8,3.5,1.2,0.4,44989,985,2.0,89.5,462.11,2.71,0.466,8.07,89.5,175.25,114.32
75.0,0.8,3,0.7,3.5,1.2,0.4,44989,616,1.2,93.2,331.04,3.81,0.504,6.98,93.4,141.87,113.95
75.0,1.0,4,0.7,3.0,2.0,0.6,44989,537,1.1,92.0,251.24,3.49,0.470,5.98,91.6,93.74,113.74
75.0,1.0,2,0.8,3.0,1.2,0.4,44989,353,0.7,92.6,264.33,4.79,0.711,7.50,92.8,111.40,113.63
75.0,1.0,2,0.7,2.5,1.5,0.5,44989,353,0.7,91.2,211.94,3.35,0.544,5.37,92.0,95.00,113.59
70.0,1.0,2,0.7,3.0,2.0,0.6,44989,460,0.9,93.5,242.55,3.97,0.510,6.07,93.8,98.27,113.17
70.0,1.0,4,0.7,3.0,1.5,0.5,44989,725,1.5,91.7,347.57,3.38,0.474,7.22,91.8,130.79,113.12
75.0,1.0,4,0.8,3.0,1.2,0.4,44989,537,1.1,89.4,305.03,3.53,0.590,7.68,87.6,107.44,112.43
55.0,1.0,2,0.7,3.0,1.2,0.4,44989,1066,2.1,93.4,561.90,3.83,0.515,9.96,93.4,225.15,112.28
65.0,0.8,2,0.7,3.5,2.0,0.6,44989,880,1.7,94.1,382.59,3.73,0.435,7.48,93.6,150.12,111.87
70.0,1.0,4,0.8,3.5,1.2,0.4,44989,725,1.5,90.2,384.82,3.44,0.558,8.72,88.8,129.92,111.71
75.0,0.8,2,0.7,3.0,1.2,0.4,44989,493,0.9,94.7,305.46,4.94,0.573,7.34,94.9,136.37,111.64
65.0,1.0,4,0.7,3.5,1.2,0.4,44989,985,2.0,92.1,477.08,3.06,0.459,8.37,92.7,194.58,111.55
65.0,1.0,2,1.0,3.5,2.0,0.6,44989,613,1.2,88.6,336.23,2.68,0.539,7.22,88.9,136.65,111.50
75.0,1.0,3,0.7,3.0,1.5,0.5,44989,466,0.9,92.3,260.42,3.99,0.551,6.76,91.2,104.03,111.23
60.0,0.8,2,0.7,3.5,2.0,0.6,44989,1095,2.1,93.3,427.62,3.09,0.390,7.48,92.8,168.10,111.18
65.0,1.0,3,0.8,3.5,1.2,0.4,44989,825,1.6,90.7,423.65,2.96,0.502,8.22,90.7,170.49,110.92
